estacion,fecha,umbral,conteo
66,31-12-2019,NARANJA,2
56,19-08-2021,NARANJA,2
66,28-02-2021,NARANJA,2
20,02-07-2020,NARANJA,2
20,03-12-2020,NARANJA,2
20,05-05-2020,NARANJA,2
20,06-10-2020,NARANJA,2
36,18-11-2019,ROJO,2
66,26-01-2020,ROJO,2
20,09-06-2022,ROJO,2
20,11-06-2022,NARANJA,2
36,18-10-2021,ROJO,2
56,26-08-2021,AMARILLO,2
20,13-04-2020,ROJO,2
66,19-08-2021,NARANJA,2
66,18-08-2020,AMARILLO,2
20,18-09-2020,NARANJA,2
66,18-05-2020,NARANJA,2
36,18-01-2021,ROJO,2
56,26-10-2020,NARANJA,2
19,24-05-2022,ROJO,2
56,18-10-2021,AMARILLO,2
36,21-10-2019,NARANJA,2
56,11-05-2022,ROJO,2
56,09-10-2021,ROJO,2
67,25-03-2022,AMARILLO,2
36,28-06-2022,NARANJA,2
67,24-05-2022,AMARILLO,2
36,28-06-2022,AMARILLO,2
56,10-03-2021,NARANJA,2
67,22-02-2022,ROJO,2
67,21-02-2022,ROJO,2
67,18-11-2019,ROJO,2
36,26-08-2021,ROJO,2
19,24-01-2020,ROJO,2
36,25-10-2019,NARANJA,2
36,25-08-2021,ROJO,2
56,13-07-2020,NARANJA,2
19,15-11-2021,NARANJA,2
36,22-11-2020,ROJO,2
19,21-02-2021,NARANJA,2
19,21-04-2020,AMARILLO,2
37,02-01-2022,NARANJA,2
67,10-07-2022,NARANJA,2
18,22-09-2020,NARANJA,2
18,09-11-2021,AMARILLO,2
68,27-12-2020,ROJO,2
17,13-12-2019,AMARILLO,2
17,09-12-2019,NARANJA,2
17,10-02-2021,NARANJA,2
17,10-03-2021,ROJO,2
37,21-10-2020,NARANJA,2
17,11-07-2020,NARANJA,2
70,02-11-2021,AMARILLO,2
70,01-12-2021,AMARILLO,2
17,12-01-2021,ROJO,2
17,12-06-2022,NARANJA,2
69,31-01-2020,NARANJA,2
17,13-06-2020,AMARILLO,2
37,20-07-2021,NARANJA,2
17,13-07-2022,AMARILLO,2
17,13-07-2022,NARANJA,2
37,19-06-2020,ROJO,2
56,03-04-2020,NARANJA,2
37,19-06-2020,NARANJA,2
17,14-06-2020,NARANJA,2
53,15-11-2021,AMARILLO,2
69,27-12-2020,ROJO,2
69,27-12-2020,NARANJA,2
17,16-01-2021,NARANJA,2
69,27-03-2022,NARANJA,2
17,16-11-2019,AMARILLO,2
17,17-11-2019,NARANJA,2
53,16-03-2022,AMARILLO,2
17,18-01-2021,NARANJA,2
37,18-09-2020,ROJO,2
17,18-05-2022,NARANJA,2
17,18-06-2022,AMARILLO,2
17,08-09-2020,AMARILLO,2
70,10-08-2021,NARANJA,2
17,05-06-2020,AMARILLO,2
17,04-09-2020,NARANJA,2
16,10-03-2021,NARANJA,2
16,10-05-2022,NARANJA,2
52,15-06-2022,ROJO,2
37,29-11-2020,NARANJA,2
37,29-07-2020,NARANJA,2
16,13-07-2022,NARANJA,2
16,16-06-2022,NARANJA,2
37,28-03-2022,AMARILLO,2
16,18-06-2022,NARANJA,2
16,19-05-2022,AMARILLO,2
37,27-12-2021,AMARILLO,2
16,19-07-2022,NARANJA,2
70,19-05-2022,NARANJA,2
70,18-04-2020,NARANJA,2
16,24-05-2022,ROJO,2
16,26-06-2020,ROJO,2
37,27-11-2021,NARANJA,2
37,27-06-2022,NARANJA,2
16,28-05-2022,AMARILLO,2
70,15-08-2021,ROJO,2
17,01-06-2020,NARANJA,2
37,26-08-2021,AMARILLO,2
37,26-06-2022,NARANJA,2
70,14-11-2021,NARANJA,2
70,14-11-2021,AMARILLO,2
17,02-06-2022,NARANJA,2
37,24-11-2019,NARANJA,2
53,02-06-2021,ROJO,2
70,11-06-2022,NARANJA,2
17,19-11-2020,NARANJA,2
37,18-01-2021,AMARILLO,2
17,21-08-2020,NARANJA,2
37,10-11-2021,NARANJA,2
69,14-03-2022,NARANJA,2
69,13-07-2021,AMARILLO,2
37,09-12-2019,NARANJA,2
69,12-07-2021,NARANJA,2
55,20-06-2022,NARANJA,2
55,24-06-2022,NARANJA,2
18,14-12-2019,ROJO,2
37,08-09-2020,NARANJA,2
69,09-10-2019,NARANJA,2
37,08-02-2021,NARANJA,2
37,06-10-2021,ROJO,2
18,16-07-2020,NARANJA,2
37,06-07-2020,NARANJA,2
37,05-11-2021,AMARILLO,2
37,05-10-2021,NARANJA,2
18,17-05-2020,NARANJA,2
69,05-03-2022,NARANJA,2
37,05-08-2021,NARANJA,2
37,05-03-2022,NARANJA,2
37,05-03-2022,AMARILLO,2
37,05-01-2021,ROJO,2
18,19-02-2022,NARANJA,2
18,19-08-2020,NARANJA,2
18,19-08-2020,ROJO,2
18,19-08-2021,ROJO,2
37,04-10-2020,ROJO,2
18,20-03-2022,NARANJA,2
69,01-07-2022,NARANJA,2
56,02-07-2020,ROJO,2
37,10-11-2021,AMARILLO,2
55,10-05-2022,NARANJA,2
17,21-10-2019,NARANJA,2
20,22-11-2021,AMARILLO,2
17,21-10-2020,NARANJA,2
37,15-10-2020,NARANJA,2
17,24-06-2022,NARANJA,2
17,24-10-2020,NARANJA,2
69,24-10-2019,NARANJA,2
37,15-03-2020,NARANJA,2
53,21-10-2020,ROJO,2
17,26-03-2022,NARANJA,2
37,14-11-2019,NARANJA,2
17,28-02-2020,NARANJA,2
17,28-02-2022,NARANJA,2
69,20-11-2019,AMARILLO,2
37,13-07-2022,NARANJA,2
17,29-07-2020,AMARILLO,2
17,29-09-2020,NARANJA,2
69,20-02-2021,NARANJA,2
17,30-06-2020,AMARILLO,2
17,31-05-2020,AMARILLO,2
53,29-04-2021,AMARILLO,2
69,18-04-2020,ROJO,2
18,01-12-2021,AMARILLO,2
69,17-12-2019,NARANJA,2
18,04-12-2020,NARANJA,2
37,11-11-2019,NARANJA,2
69,16-07-2020,NARANJA,2
69,15-12-2019,ROJO,2
69,15-11-2021,NARANJA,2
37,11-06-2022,AMARILLO,2
18,09-10-2019,ROJO,2
56,26-10-2020,ROJO,2
57,07-06-2022,ROJO,2
66,14-10-2019,NARANJA,2
25,29-03-2022,AMARILLO,2
34,14-11-2019,ROJO,2
25,23-03-2022,NARANJA,2
25,23-05-2020,NARANJA,2
61,24-11-2021,AMARILLO,2
58,09-06-2022,NARANJA,2
25,24-09-2021,AMARILLO,2
34,14-10-2021,NARANJA,2
61,22-08-2020,AMARILLO,2
25,25-09-2020,NARANJA,2
25,26-11-2020,AMARILLO,2
58,09-10-2019,NARANJA,2
25,27-07-2021,NARANJA,2
25,28-03-2022,AMARILLO,2
58,10-07-2020,NARANJA,2
34,11-02-2022,NARANJA,2
58,11-06-2022,NARANJA,2
61,18-11-2021,AMARILLO,2
34,11-02-2021,ROJO,2
58,10-09-2020,NARANJA,2
34,11-02-2021,AMARILLO,2
34,10-09-2020,ROJO,2
27,19-05-2022,NARANJA,2
27,30-06-2022,NARANJA,2
61,16-03-2022,NARANJA,2
28,01-10-2021,AMARILLO,2
28,01-10-2021,NARANJA,2
61,15-11-2020,ROJO,2
28,02-11-2021,AMARILLO,2
28,02-11-2021,NARANJA,2
58,10-12-2019,NARANJA,2
61,26-10-2019,NARANJA,2
58,08-06-2022,ROJO,2
34,15-03-2022,NARANJA,2
25,21-09-2020,NARANJA,2
58,01-02-2020,NARANJA,2
25,09-06-2021,AMARILLO,2
25,10-06-2020,NARANJA,2
25,10-07-2021,AMARILLO,2
62,25-10-2019,AMARILLO,2
62,20-02-2022,NARANJA,2
25,12-06-2020,NARANJA,2
62,15-06-2022,NARANJA,2
25,12-08-2021,ROJO,2
62,14-05-2022,ROJO,2
62,11-06-2022,ROJO,2
34,22-08-2021,NARANJA,2
25,14-11-2020,NARANJA,2
62,06-06-2022,NARANJA,2
58,06-07-2020,NARANJA,2
62,05-03-2021,ROJO,2
62,05-02-2022,NARANJA,2
34,18-05-2022,NARANJA,2
34,18-05-2022,AMARILLO,2
25,19-07-2021,AMARILLO,2
34,17-11-2019,NARANJA,2
61,30-06-2020,ROJO,2
34,17-06-2022,AMARILLO,2
34,17-05-2022,NARANJA,2
34,17-02-2021,NARANJA,2
61,29-09-2020,NARANJA,2
25,21-05-2021,AMARILLO,2
25,21-06-2021,NARANJA,2
34,16-08-2021,NARANJA,2
34,08-10-2021,NARANJA,2
61,13-10-2019,ROJO,2
25,08-09-2021,NARANJA,2
29,16-06-2022,NARANJA,2
59,27-03-2022,ROJO,2
59,26-10-2019,NARANJA,2
32,11-02-2022,AMARILLO,2
28,26-06-2021,NARANJA,2
58,25-01-2021,NARANJA,2
28,28-07-2021,ROJO,2
28,28-07-2022,ROJO,2
28,29-05-2022,NARANJA,2
28,29-08-2022,ROJO,2
29,06-06-2022,NARANJA,2
32,04-03-2022,AMARILLO,2
29,10-06-2022,NARANJA,2
32,03-03-2022,NARANJA,2
29,16-06-2022,AMARILLO,2
31,29-03-2022,NARANJA,2
34,06-10-2021,AMARILLO,2
29,25-06-2022,NARANJA,2
30,05-03-2022,NARANJA,2
30,17-03-2022,ROJO,2
58,30-09-2021,NARANJA,2
59,15-10-2019,ROJO,2
31,23-03-2022,NARANJA,2
30,18-12-2021,NARANJA,2
58,31-07-2020,NARANJA,2
31,12-02-2021,NARANJA,2
59,14-08-2020,NARANJA,2
30,27-07-2021,NARANJA,2
59,07-02-2022,NARANJA,2
30,31-03-2022,AMARILLO,2
31,07-09-2020,NARANJA,2
32,12-10-2019,NARANJA,2
28,24-09-2021,NARANJA,2
58,23-06-2020,ROJO,2
33,05-04-2022,AMARILLO,2
34,06-06-2022,NARANJA,2
61,10-09-2020,NARANJA,2
